cust_id,name,state,address
CUST_1001,Falan Mohanty,Tamil Nadu,"H.No. 805, Issac, Rourkela-279591"
CUST_1002,Nirja Yadav,Sikkim,"93/416, Agarwal Chowk, Burhanpur 835151"
CUST_1003,Warhi Sur,Mizoram,"H.No. 78, Mody Road, Bihar Sharif 725901"
CUST_1004,Baljiwan Dash,Manipur,"650, Ram Zila, Madhyamgram 195007"
CUST_1005,Parth Tailor,Rajasthan,"H.No. 998, Reddy Path, Thrissur 135235"
CUST_1006,Vasudha Mall,Manipur,"932, Shukla Nagar, Ludhiana 735933"
CUST_1007,Waida Jaggi,Punjab,"H.No. 10, Sachdeva Marg, Nangloi Jat 344524"
CUST_1008,Krish Dhaliwal,Arunachal Pradesh,"24/925, Mahal Circle, Shahjahanpur 736842"
CUST_1009,Vidhi Palan,Mizoram,"50, Brar Chowk, Bareilly-851488"
CUST_1010,Daksha Mangat,Tripura,"66/547, Prashad Ganj, Ahmednagar-838085"
CUST_1011,Yashodhara Tak,Nagaland,"94/664, Saxena Circle, Aurangabad-447018"
CUST_1012,Omaja Sabharwal,Assam,"H.No. 806, Vohra Street, Navi Mumbai 851561"
CUST_1013,Upadhriti Shukla,Nagaland,"H.No. 181, Om Circle, Sonipat-657447"
CUST_1014,Vincent Ravi,Himachal Pradesh,"72/96, Saraf Marg, Kurnool 516850"
CUST_1015,Yashawini Kar,Karnataka,"96/600, Rajagopal, Machilipatnam-131822"
CUST_1016,Charvi Tripathi,Goa,"95, Shere, Imphal-573021"
CUST_1017,Kritika Banerjee,Goa,"80, Pillay Zila, Asansol-134382"
CUST_1018,Bhanumati Natarajan,Andhra Pradesh,"H.No. 559, Sandal Nagar, Jammu 554122"
CUST_1019,Thomas Chaudhuri,Manipur,"85/19, Borah Path, Jabalpur 087028"
CUST_1020,Nisha Jhaveri,Uttarakhand,"17/188, Vora Street, Gwalior 296091"
CUST_1021,Hemal Ramakrishnan,Goa,"07, Rai Path, Guna 050811"
CUST_1022,Udarsh Uppal,Bihar,"H.No. 958, Raja Road, Cuttack-786393"
CUST_1023,Dalaja Gill,Bihar,"083, Karnik Nagar, Miryalaguda 680485"
CUST_1024,Maya Sani,Andhra Pradesh,"H.No. 94, Mandal Circle, Mahbubnagar-539333"
CUST_1025,Utkarsh Kapur,Chhattisgarh,"51/93, Parikh Ganj, Sambhal-191339"
CUST_1026,Vritti Yadav,Arunachal Pradesh,"H.No. 947, Zachariah Marg, Coimbatore 699761"
CUST_1027,Daniel Sane,Punjab,"66/92, Lall Marg, Malda 803948"
CUST_1028,Yochana Butala,Meghalaya,"217, Yohannan Circle, Coimbatore 190171"
CUST_1029,Libni Choudhury,Rajasthan,"635, Samra Nagar, Avadi-021955"
CUST_1030,Daksha Mani,Nagaland,"26/10, Deol Zila, Raurkela Industrial Township 386359"
CUST_1031,Nikita Madan,Kerala,"071, Batta Circle, Amaravati 929068"
CUST_1032,Azaan Kala,Uttarakhand,"23/62, Samra, Panipat 654001"
CUST_1033,Parth Savant,Sikkim,"96/066, Atwal Circle, Unnao 018695"
CUST_1034,Indira D’Alia,Tripura,"477, Wali, Bikaner-566697"
CUST_1035,Ekavir Dani,Meghalaya,"H.No. 65, Narain Ganj, Jamshedpur-682622"
CUST_1036,Yashvi Grover,Maharashtra,"50/099, Maharaj Path, Burhanpur 957931"
CUST_1037,Ekani Choudhry,Uttarakhand,"774, Behl, Sangli-Miraj & Kupwad 013752"
CUST_1038,Kiaan De,Meghalaya,"42, Mittal Marg, Jalna 865238"
CUST_1039,Pratyush Raman,Chhattisgarh,"H.No. 44, Roy Nagar, Silchar-732853"
CUST_1040,Yasti Prabhu,Telangana,"360, Om Ganj, Ambala 242049"
CUST_1041,Bahadurjit Khanna,Jharkhand,"88, Ranganathan Path, Udupi 555624"
CUST_1042,Lopa Rout,Uttarakhand,"76/120, Sami Ganj, Pondicherry-054801"
CUST_1043,Ikbal Mukhopadhyay,Kerala,"76, Bhasin Road, Jalgaon 297384"
CUST_1044,Aditya Narang,Jharkhand,"08/102, Krishna Marg, Bharatpur 573860"
CUST_1045,Radha Majumdar,Telangana,"H.No. 62, Shankar Zila, Kirari Suleman Nagar-502898"
CUST_1046,Yash Soni,Maharashtra,"78/420, Savant Path, Aligarh 071322"
CUST_1047,Urmi Deshmukh,Arunachal Pradesh,"517, Devan, Phagwara 718041"
CUST_1048,Xiti Bhalla,Uttarakhand,"831, Wason Street, Dewas 116241"
CUST_1049,Yashodhara Wable,Bihar,"H.No. 931, Swaminathan Street, Mumbai-677107"
CUST_1050,Hitesh Sarin,Sikkim,"H.No. 628, Ramachandran, Raiganj-722304"
CUST_1051,Elijah Viswanathan,Himachal Pradesh,"426, Ramesh Road, Unnao 958192"
CUST_1052,Avni Char,Assam,"12/445, Dave Street, Chapra-878186"
CUST_1053,Reva Kala,Mizoram,"927, Kota Ganj, Salem 965549"
CUST_1054,Lila Sharma,West Bengal,"99/39, Chad Ganj, Bhalswa Jahangir Pur-813631"
CUST_1055,Ishita Dar,Gujarat,"H.No. 851, Vala Ganj, Kottayam-848710"
CUST_1056,Jalsa Dutta,Arunachal Pradesh,"96, Dora Road, Saharsa 929153"
CUST_1057,Liam Pradhan,Bihar,"74/27, Shere Marg, Hospet-254735"
CUST_1058,Garima Bakshi,Uttarakhand,"28, Chowdhury Road, Patiala-680395"
CUST_1059,Anmol Parikh,Bihar,"94/96, Venkataraman Path, Surat 636959"
CUST_1060,Dev Varghese,Nagaland,"71/99, Mistry Marg, Mangalore 858929"
CUST_1061,Champak Narasimhan,Sikkim,"92/78, Sarna Road, Bangalore 443232"
CUST_1062,Simon Bora,West Bengal,"94/728, Solanki Path, Dibrugarh-131754"
CUST_1063,Gagan Muni,Uttar Pradesh,"H.No. 912, Sheth Path, Unnao-033113"
CUST_1064,Maya Chaudhary,Meghalaya,"H.No. 182, Roy Marg, Jamalpur-405018"
CUST_1065,Hiral Rajan,Telangana,"H.No. 467, Deol Marg, Sikar-025591"
CUST_1066,Oni Kala,Goa,"H.No. 439, Sura Road, Chennai 476204"
CUST_1067,Laksh Jaggi,Assam,"60/93, Misra Path, Dhanbad-510790"
CUST_1068,Aditya Nath,Goa,"36, Radhakrishnan Marg, Rewa-765232"
CUST_1069,Jason Bawa,Arunachal Pradesh,"H.No. 60, Bedi Chowk, Miryalaguda 872609"
CUST_1070,Pranav Shenoy,Arunachal Pradesh,"H.No. 21, Prashad Road, Nizamabad-182594"
CUST_1071,Aahana Venkatesh,Manipur,"48, Ramesh, Kolhapur 649902"
CUST_1072,Timothy Zacharia,Sikkim,"027, Merchant Nagar, Farrukhabad-248140"
CUST_1073,Harshil Bail,Gujarat,"H.No. 72, Thaman Nagar, Sambhal 132736"
CUST_1074,Jalsa Mistry,Arunachal Pradesh,"H.No. 173, Koshy Street, Saharsa 974085"
CUST_1075,Anjali Menon,Karnataka,"17/24, Balasubramanian, Bokaro-872278"
CUST_1076,Wazir Kumar,Rajasthan,"624, Ramesh Circle, Korba-965836"
CUST_1077,Udant Anand,Tamil Nadu,"H.No. 239, Ganguly Ganj, Dibrugarh-486994"
CUST_1078,Owen Sethi,Manipur,"H.No. 356, Misra Circle, Rajkot-586703"
CUST_1079,Aayush Trivedi,Meghalaya,"H.No. 14, Sood Zila, Faridabad-506625"
CUST_1080,Aishani Sastry,Odisha,"241, Kunda Zila, Kakinada-835422"
CUST_1081,Forum Bava,Odisha,"279, Rout, Kozhikode 760257"
CUST_1082,Karan Bedi,Uttar Pradesh,"11/75, Misra Zila, Burhanpur 069704"
CUST_1083,Siya Bandi,Uttar Pradesh,"54/637, Patla, Ghaziabad-306783"
CUST_1084,Jason Palla,Nagaland,"787, Vaidya Chowk, Thanjavur-989475"
CUST_1085,Prisha Ravel,Andhra Pradesh,"49/46, Konda Marg, Hospet-220540"
CUST_1086,Vasana Gopal,Tripura,"46, Kalita Ganj, Noida-922756"
CUST_1087,Amruta Sagar,Assam,"25/54, Kale Ganj, Bikaner-336590"
CUST_1088,Anita Venkatesh,Uttarakhand,"307, Khatri Ganj, Ujjain 407887"
CUST_1089,Hiral Nagarajan,Meghalaya,"H.No. 91, Balan Street, Mysore-750359"
CUST_1090,Utkarsh Magar,Karnataka,"82/874, Naidu Ganj, Vijayawada-184452"
CUST_1091,Vihaan Hora,Haryana,"H.No. 351, Bora Zila, Karimnagar 768949"
CUST_1092,Warjas Raghavan,Odisha,"28/578, Borah Ganj, Jammu-421827"
CUST_1093,Jason Johal,Arunachal Pradesh,"22/83, Lata, Kolhapur 281848"
CUST_1094,Warda Sood,Punjab,"67, Pal Marg, Surendranagar Dudhrej-112903"
CUST_1095,Charan Mann,West Bengal,"04/92, Doctor Street, South Dumdum-746707"
CUST_1096,Ati Saran,Tripura,"52/283, Saran Circle, Guwahati-155970"
CUST_1097,Lohit Wali,Uttarakhand,"H.No. 890, Kaul Chowk, Bokaro 711599"
CUST_1098,Mohini Ganesh,Meghalaya,"20/97, Palan Road, Pali 039122"
CUST_1099,Niharika Brar,West Bengal,"69/517, Viswanathan Road, Ulhasnagar 516204"
CUST_1100,Bimala Mittal,Nagaland,"140, Saran Zila, Munger 043080"
CUST_1101,Girik Cherian,Madhya Pradesh,"38/007, Mangat, Karimnagar-859358"
CUST_1102,Mohammed Amble,Odisha,"381, Balakrishnan Nagar, Warangal-567851"
CUST_1103,Anita Ghosh,Andhra Pradesh,"63, Halder Road, Sagar 289414"
CUST_1104,Veer Mitter,Kerala,"H.No. 495, Desai Ganj, Ambattur 820637"
CUST_1105,Hredhaan Sachdeva,Karnataka,"73/42, Sangha Road, Bhiwani 137668"
